full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,years_until_retirement
LeBron James,97,#23,Los Angeles Lakers,F,12/30/1984,6-9 / 2.06,250 lbs. / 113.4 kg.,$37436858,USA,2003,1,1,No college,Old
Kawhi Leonard,97,#2,Los Angeles Clippers,F,06/29/1991,6-7 / 2.01,225 lbs. / 102.1 kg.,$32742000,USA,2011,1,15,San Diego State,6
Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/06/1994,6-11 / 2.11,242 lbs. / 109.8 kg.,$25842697,Greece,2013,1,15,No college,9
Kevin Durant,96,#7,Brooklyn Nets,F,09/29/1988,6-10 / 2.08,230 lbs. / 104.3 kg.,$37199000,USA,2007,1,2,Texas,3
James Harden,96,#13,Houston Rockets,G,08/26/1989,6-5 / 1.96,220 lbs. / 99.8 kg.,$38199000,USA,2009,1,3,Arizona State,4
Stephen Curry,95,#30,Golden State Warriors,G,03/14/1988,6-3 / 1.91,185 lbs. / 83.9 kg.,$40231758,USA,2009,1,7,Davidson,3
Anthony Davis,94,#3,Los Angeles Lakers,F-C,03/11/1993,6-10 / 2.08,222 lbs. / 100.7 kg.,$27093019,USA,2012,1,1,Kentucky,8
Paul George,93,#13,Los Angeles Clippers,F,05/02/1990,6-8 / 2.03,210 lbs. / 95.3 kg.,$33005556,USA,2010,1,10,Fresno State,5
Damian Lillard,92,#0,Portland Trail Blazers,G,07/15/1990,6-2 / 1.88,195 lbs. / 88.5 kg.,$29802321,USA,2012,1,6,Weber State,5
Joel Embiid,91,#21,Philadelphia 76ers,C,03/16/1994,7-0 / 2.13,250 lbs. / 113.4 kg.,$27504630,Cameroon,2014,1,3,Kansas,9
Kyrie Irving,91,#11,Brooklyn Nets,G,03/23/1992,6-2 / 1.88,180 lbs. / 81.6 kg.,$31742000,Australia,2011,1,1,Duke,7
Nikola Jokic,90,#15,Denver Nuggets,C,02/19/1995,7-0 / 2.13,253 lbs. / 114.8 kg.,$27504630,Serbia,2014,2,41,No college,10
Russell Westbrook,90,#0,Houston Rockets,G,11/12/1988,6-3 / 1.91,190 lbs. / 86.2 kg.,$38506482,USA,2008,1,4,UCLA,3
Klay Thompson,89,#11,Golden State Warriors,G,02/08/1990,6-6 / 1.98,205 lbs. / 93 kg.,$32742000,USA,2011,1,11,Washington State,5
Karl-Anthony Towns,89,#32,Minnesota Timberwolves,F-C,11/15/1995,6-11 / 2.11,248 lbs. / 112.5 kg.,$27285000,USA,2015,1,1,Kentucky,10
Jimmy Butler,88,#22,Miami Heat,G,09/14/1989,6-7 / 2.01,220 lbs. / 99.8 kg.,$32742000,USA,2011,1,30,Marquette,4
Rudy Gobert,88,#27,Utah Jazz,C,06/26/1992,7-1 / 2.16,238 lbs. / 108 kg.,$25258427,France,2013,1,27,No college,7
Blake Griffin,88,#23,Detroit Pistons,F,03/16/1989,6-9 / 2.06,252 lbs. / 114.3 kg.,$34449964,USA,2009,1,1,Oklahoma,4
Donovan Mitchell,88,#45,Utah Jazz,G,09/07/1996,6-1 / 1.85,211 lbs. / 95.7 kg.,$3635760,USA,2017,1,13,Louisville,11
Kemba Walker,88,#8,Boston Celtics,G,05/08/1990,6-0 / 1.83,172 lbs. / 78 kg.,$32742000,USA,2011,1,9,UConn,5
Luka Doncic,87,#77,Dallas Mavericks,G-F,02/28/1999,6-7 / 2.01,227 lbs. / 103 kg.,$7683360,Slovenia,2018,1,3,No college,14
LaMarcus Aldridge,87,#12,San Antonio Spurs,F-C,07/19/1985,6-11 / 2.11,246 lbs. / 111.6 kg.,$26000000,USA,2006,1,2,Texas,Old
Bradley Beal,87,#3,Washington Wizards,G,06/28/1993,6-3 / 1.91,207 lbs. / 93.9 kg.,$27093018,USA,2012,1,3,Florida,8
Mike Conley,87,#10,Utah Jazz,G,10/11/1987,6-1 / 1.85,185 lbs. / 83.9 kg.,$32511623,USA,2007,1,4,Ohio State,2
DeMar DeRozan,87,#10,San Antonio Spurs,G-F,08/07/1989,6-6 / 1.98,220 lbs. / 99.8 kg.,$27739975,USA,2009,1,9,USC,4
CJ McCollum,87,#3,Portland Trail Blazers,G,09/19/1991,6-3 / 1.91,197 lbs. / 89.4 kg.,$27556959,USA,2013,1,10,Lehigh,6
Victor Oladipo,87,#4,Indiana Pacers,G,05/04/1992,6-4 / 1.93,213 lbs. / 96.6 kg.,$21000000,USA,2013,1,2,Indiana,7
Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,08/02/1995,7-3 / 2.21,220 lbs. / 99.8 kg.,$27285000,Latvia,2015,1,4,No college,10
D'Angelo Russell,87,#0,Minnesota Timberwolves,G,02/23/1996,6-4 / 1.93,193 lbs. / 87.5 kg.,$27285000,USA,2015,1,2,Ohio State,11
Pascal Siakam,87,#43,Toronto Raptors,F,04/02/1994,6-9 / 2.06,227 lbs. / 103 kg.,$2351838,Cameroon,2016,1,27,New Mexico State,9
Ben Simmons,87,#25,Philadelphia 76ers,F,07/20/1996,6-10 / 2.08,240 lbs. / 108.9 kg.,$8113929,Australia,2016,1,1,LSU,11
De'Aaron Fox,86,#5,Sacramento Kings,G,12/20/1997,6-3 / 1.91,171 lbs. / 77.6 kg.,$6392760,USA,2017,1,5,Kentucky,12
Devin Booker,86,#1,Phoenix Suns,G,10/30/1996,6-5 / 1.96,206 lbs. / 93.4 kg.,$27285000,USA,2015,1,13,Kentucky,11
DeMarcus Cousins,86,#0,Free agent,C,08/13/1990,6-10 / 2.08,270 lbs. / 122.5 kg.,$3500000,USA,2010,1,5,Kentucky,5
Andre Drummond,86,#0,Cleveland Cavaliers,C,08/10/1993,6-10 / 2.08,270 lbs. / 122.5 kg.,$27093018,USA,2012,1,9,UConn,8
Draymond Green,86,#23,Golden State Warriors,F,03/04/1990,6-6 / 1.98,230 lbs. / 104.3 kg.,$18539130,USA,2012,2,35,Michigan State,5
Jrue Holiday,86,#11,New Orleans Pelicans,G,06/12/1990,6-3 / 1.91,180 lbs. / 81.6 kg.,$26131111,USA,2009,1,17,UCLA,5
Nikola Vucevic,86,#9,Orlando Magic,C,10/24/1990,6-11 / 2.11,240 lbs. / 108.9 kg.,$28000000,Montenegro,2011,1,16,USC,5
John Wall,86,#2,Washington Wizards,G,09/06/1990,6-4 / 1.93,195 lbs. / 88.5 kg.,$38199000,USA,2010,1,1,Kentucky,5
Jayson Tatum,85,#0,Boston Celtics,F,03/03/1998,6-8 / 2.03,204 lbs. / 92.5 kg.,$7830000,USA,2017,1,3,Duke,13
Trae Young,85,#11,Atlanta Hawks,G,09/19/1998,6-1 / 1.85,180 lbs. / 81.6 kg.,$6273000,USA,2018,1,5,Oklahoma,13
Eric Bledsoe,85,#6,Milwaukee Bucks,G,12/09/1989,6-1 / 1.85,195 lbs. / 88.5 kg.,$15625000,USA,2010,1,18,Kentucky,4
Clint Capela,85,#15,Atlanta Hawks,C,05/18/1994,6-10 / 2.08,211 lbs. / 95.7 kg.,$16896552,Switzerland,2014,1,25,No college,9
Tobias Harris,85,#12,Philadelphia 76ers,F,07/15/1992,6-8 / 2.03,226 lbs. / 102.5 kg.,$32742000,USA,2011,1,19,Tennessee,7
Al Horford,85,#42,Philadelphia 76ers,C-F,06/03/1986,6-9 / 2.06,246 lbs. / 111.6 kg.,$28000000,Dominican Republic,2007,1,3,Florida,1
Zach LaVine,85,#8,Chicago Bulls,G,03/10/1995,6-6 / 1.98,181 lbs. / 82.1 kg.,$19500000,USA,2014,1,13,UCLA,10
Kyle Lowry,85,#7,Toronto Raptors,G,03/25/1986,6-0 / 1.83,205 lbs. / 93 kg.,$33296296,USA,2006,1,24,Villanova,1
Khris Middleton,85,#22,Milwaukee Bucks,F,08/12/1991,6-7 / 2.01,217 lbs. / 98.4 kg.,$30603448,USA,2012,2,39,Texas A&M,6
Chris Paul,85,#3,Oklahoma City Thunder,G,05/06/1985,6-1 / 1.85,175 lbs. / 79.4 kg.,$38506482,USA,2005,1,4,Wake Forest,Old
John Collins,84,#20,Atlanta Hawks,F,09/23/1997,6-9 / 2.06,225 lbs. / 102.1 kg.,$2686560,USA,2017,1,19,Wake Forest,12
Buddy Hield,84,#24,Sacramento Kings,G,12/17/1993,6-4 / 1.93,212 lbs. / 96.2 kg.,$4861207,The Bahamas,2016,1,6,Oklahoma,8
Kyle Kuzma,84,#0,Los Angeles Lakers,F,07/24/1995,6-8 / 2.03,221 lbs. / 100.2 kg.,$1974600,USA,2017,1,27,Utah,10
Jamal Murray,84,#27,Denver Nuggets,G,02/23/1997,6-4 / 1.93,201 lbs. / 91.2 kg.,$4444746,Canada,2016,1,7,Kentucky,12
Louis Williams,84,#23,Los Angeles Clippers,G,10/27/1986,6-1 / 1.85,175 lbs. / 79.4 kg.,$8000000,USA,2005,2,45,No college,1
Marvin Bagley,83,#35,Sacramento Kings,F,03/14/1999,6-11 / 2.11,235 lbs. / 106.6 kg.,$8556120,USA,2018,1,2,Duke,14
Bojan Bogdanovic,83,#44,Utah Jazz,G-F,04/18/1989,6-8 / 2.03,216 lbs. / 98 kg.,$17000000,Croatia,2011,2,31,No college,4
Malcolm Brogdon,83,#7,Indiana Pacers,G,12/11/1992,6-5 / 1.96,223 lbs. / 101.2 kg.,$20000000,USA,2016,2,36,Virginia,7
Danilo Gallinari,83,#8,Oklahoma City Thunder,F,08/08/1988,6-10 / 2.08,225 lbs. / 102.1 kg.,$22615559,Italy,2008,1,6,No college,3
Montrezl Harrell,83,#5,Los Angeles Clippers,F,01/26/1994,6-7 / 2.01,253 lbs. / 114.8 kg.,$6000000,USA,2015,2,32,Louisville,9
Kevin Love,83,#0,Cleveland Cavaliers,F,09/07/1988,6-8 / 2.03,260 lbs. / 117.9 kg.,$28942830,USA,2008,1,5,UCLA,3
Lauri Markkanen,83,#24,Chicago Bulls,F-C,05/22/1997,7-0 / 2.13,240 lbs. / 108.9 kg.,$5300400,Finland,2017,1,7,Arizona,12
Jusuf Nurkic,83,#27,Portland Trail Blazers,C,08/23/1994,7-0 / 2.13,290 lbs. / 131.5 kg.,$12000000,Bosnia and Herzegovina,2014,1,16,No college,9
Julius Randle,83,#30,New York Knicks,F,11/29/1994,6-8 / 2.03,250 lbs. / 113.4 kg.,$18000000,USA,2014,1,7,Kentucky,9
Marc Gasol,82,#33,Toronto Raptors,C,01/29/1985,6-11 / 2.11,265 lbs. / 120.2 kg.,$25595700,Spain,2007,2,48,No college,Old
Steven Adams,82,#12,Oklahoma City Thunder,C,07/20/1993,6-11 / 2.11,255 lbs. / 115.7 kg.,$25842697,New Zealand,2013,1,12,Pittsburgh,8
Deandre Ayton,82,#22,Phoenix Suns,C,07/23/1998,6-11 / 2.11,250 lbs. / 113.4 kg.,$9562920,The Bahamas,2018,1,1,Arizona,13
Spencer Dinwiddie,82,#8,Brooklyn Nets,G,04/06/1993,6-5 / 1.96,205 lbs. / 93 kg.,$10605600,USA,2014,2,38,Colorado,8
Jaren Jackson,82,#13,Memphis Grizzlies,F-C,09/15/1999,6-11 / 2.11,242 lbs. / 110 kg.,$6699960,USA,2018,1,4,Michigan State,14
Paul Millsap,82,#4,Denver Nuggets,F-C,02/10/1985,6-7 / 2.01,250 lbs. / 113.4 kg.,$30350000,USA,2017,2,47,Louisiana Tech,Old
Marcus Smart,82,#36,Boston Celtics,G,03/06/1994,6-3 / 1.91,227 lbs. / 103 kg.,$12553571,USA,2014,1,6,Oklahoma State,9
Myles Turner,82,#33,Indiana Pacers,F-C,03/24/1996,6-11 / 2.11,239 lbs. / 108.4 kg.,$18000000,USA,2015,1,11,Texas,11
Serge Ibaka,81,#9,Toronto Raptors,F,09/18/1989,7-0 / 2.13,240 lbs. / 108.9 kg.,$23271604,Spain,2008,1,24,No college,4
Zion Williamson,81,#1,New Orleans Pelicans,F,07/06/2000,6-6 / 1.98,284 lbs. / 128.8 kg.,$9757440,USA,2019,1,1,Duke,15
Rudy Gay,81,#22,San Antonio Spurs,F,08/17/1986,6-8 / 2.03,230 lbs. / 104.3 kg.,$14500000,USA,2006,1,8,UConn,1
Aaron Gordon,81,#0,Orlando Magic,F,09/16/1995,6-8 / 2.03,220 lbs. / 99.8 kg.,$19863636,USA,2014,1,4,Arizona,10
Brandon Ingram,81,#14,New Orleans Pelicans,F,09/02/1997,6-7 / 2.01,196 lbs. / 88.9 kg.,$7265485,USA,2016,1,2,Duke,12
DeAndre Jordan,81,#6,Brooklyn Nets,C,07/21/1988,6-11 / 2.11,265 lbs. / 120.2 kg.,$9881598,USA,2008,2,35,Texas A&M,3
Domantas Sabonis,81,#11,Indiana Pacers,F-C,05/03/1996,6-11 / 2.11,231 lbs. / 104.8 kg.,$3529554,Lithuania,2016,1,11,Gonzaga,11
Jonas Valanciunas,81,#17,Memphis Grizzlies,C,05/06/1992,6-11 / 2.11,231 lbs. / 104.8 kg.,$16000000,Lithuania,2011,1,5,No college,7
Hassan Whiteside,81,#21,Portland Trail Blazers,C,06/13/1989,7-0 / 2.13,235 lbs. / 106.6 kg.,$27093018,USA,2010,2,33,Marshall,4
Derrick Rose,80,#25,Detroit Pistons,G,10/04/1988,6-2 / 1.88,190 lbs. / 86.2 kg.,$7317074,USA,2008,1,1,Memphis,3
Robert Covington,80,#33,Houston Rockets,F,12/14/1990,6-7 / 2.01,209 lbs. / 94.8 kg.,$11301219,USA,2013,Undrafted,Undrafted,Tennessee State,5
Derrick Favors,80,#22,New Orleans Pelicans,F,07/15/1991,6-9 / 2.06,246 lbs. / 111.6 kg.,$17650000,USA,2010,1,3,Georgia Tech,6
Gordon Hayward,80,#20,Boston Celtics,F,03/23/1990,6-7 / 2.01,207 lbs. / 93.9 kg.,$32700690,USA,2010,1,9,Butler,5
Reggie Jackson,80,#0,Los Angeles Clippers,G,04/16/1990,6-3 / 1.91,208 lbs. / 94.3 kg.,$17799677,USA,2011,1,24,Boston College,5
Enes Kanter,80,#11,Boston Celtics,C,05/20/1992,6-10 / 2.08,262 lbs. / 118.8 kg.,$4767000,Turkey,2011,1,3,No college,7
Otto Porter,80,#22,Chicago Bulls,F,06/03/1993,6-8 / 2.03,198 lbs. / 89.8 kg.,$27250576,USA,2013,1,2,Georgetown,8
JJ Redick,80,#4,New Orleans Pelicans,G,06/24/1984,6-3 / 1.91,190 lbs. / 86.2 kg.,$13486300,USA,2006,1,11,Duke,Old
Josh Richardson,80,#0,Philadelphia 76ers,G,09/15/1993,6-5 / 1.96,200 lbs. / 90.7 kg.,$10116576,USA,2015,2,40,Tennessee,8
TJ Warren,80,#1,Indiana Pacers,F,09/05/1993,6-8 / 2.03,220 lbs. / 99.8 kg.,$11060000,USA,2014,1,14,NC State,8
Ja Morant,79,#12,Memphis Grizzlies,G,08/10/1999,6-3 / 1.91,174 lbs. / 78.9 kg.,$8730240,USA,2019,1,2,Murray State,14
Bam Adebayo,79,#13,Miami Heat,F-C,07/18/1997,6-9 / 2.06,243 lbs. / 110.2 kg.,$3454080,USA,2017,1,14,Kentucky,12
Jarrett Allen,79,#31,Brooklyn Nets,C,04/20/1998,6-11 / 2.11,234 lbs. / 106.1 kg.,$2376840,USA,2017,1,22,Texas,13
Lonzo Ball,79,#2,New Orleans Pelicans,G,10/27/1997,6-6 / 1.98,190 lbs. / 86.2 kg.,$8719320,USA,2017,1,2,UCLA,12
Harrison Barnes,79,#40,Sacramento Kings,F,05/30/1992,6-8 / 2.03,210 lbs. / 95.3 kg.,$24147727,USA,2012,1,7,North Carolina,7
Patrick Beverley,79,#21,Los Angeles Clippers,G,07/12/1988,6-1 / 1.85,180 lbs. / 81.6 kg.,$12345680,USA,2009,2,42,Arkansas,3
Jaylen Brown,79,#7,Boston Celtics,F,10/24/1996,6-6 / 1.98,223 lbs. / 101.2 kg.,$6534829,USA,2016,1,3,California,11
Willie Cauley-Stein,79,#0,Dallas Mavericks,C,08/18/1993,7-0 / 2.13,242 lbs. / 109.8 kg.,$2177483,USA,2015,1,6,Kentucky,8
Goran Dragic,79,#7,Miami Heat,G,05/06/1986,6-3 / 1.91,190 lbs. / 86.2 kg.,$19217900,Slovenia,2008,2,45,No college,1
Shai Gilgeous-Alexander,79,#2,Oklahoma City Thunder,G,07/12/1998,6-5 / 1.96,180 lbs. / 81.6 kg.,$3952920,Canada,2018,1,11,Kentucky,13
Gary Harris,79,#14,Denver Nuggets,G,09/14/1994,6-4 / 1.93,205 lbs. / 93 kg.,$17839286,USA,2014,1,19,Michigan State,9
Joe Ingles,79,#2,Utah Jazz,F,10/02/1987,6-7 / 2.01,209 lbs. / 94.8 kg.,$11454546,Australia,2009,Undrafted,Undrafted,No college,2
Jeremy Lamb,79,#26,Indiana Pacers,G,05/30/1992,6-5 / 1.96,180 lbs. / 81.6 kg.,$10500000,USA,2012,1,12,UConn,7
Brook Lopez,79,#11,Milwaukee Bucks,C,04/01/1988,7-0 / 2.13,265 lbs. / 120.2 kg.,$12093024,USA,2008,1,10,Stanford,3
JaVale McGee,79,#7,Los Angeles Lakers,C,01/19/1988,7-0 / 2.13,270 lbs. / 122.5 kg.,$4000000,USA,2008,1,18,Nevada,3
Mitchell Robinson,79,#23,New York Knicks,C,04/01/1998,7-0 / 2.13,223 lbs. / 101.2 kg.,$1559712,USA,2018,2,36,No college,13
Terrence Ross,79,#8,Orlando Magic,G,02/05/1991,6-6 / 1.98,206 lbs. / 93.4 kg.,$12500000,USA,2012,1,8,Washington,6
Tristan Thompson,79,#13,Cleveland Cavaliers,F,03/13/1991,6-9 / 2.06,225 lbs. / 102.1 kg.,$18539130,Canada,2011,1,4,Texas,6
PJ Tucker,79,#17,Houston Rockets,F,05/05/1985,6-5 / 1.96,225 lbs. / 102.1 kg.,$8349039,USA,2006,2,35,Texas,Old
Fred VanVleet,79,#23,Toronto Raptors,G,02/25/1994,6-1 / 1.85,197 lbs. / 89.4 kg.,$9346153,USA,2006,Undrafted,Undrafted,Wichita State,9
Andrew Wiggins,79,#22,Golden State Warriors,F,02/23/1995,6-7 / 2.01,197 lbs. / 89.4 kg.,$27504630,Canada,2014,1,1,Kansas,10
Thaddeus Young,79,#21,Chicago Bulls,F,06/21/1988,6-8 / 2.03,220 lbs. / 99.8 kg.,$12900000,USA,2007,1,12,Georgia Tech,3
RJ Barrett,78,#9,New York Knicks,G,06/14/2000,6-6 / 1.98,202 lbs. / 91.6 kg.,$7839960,Canada,2019,1,3,Duke,15
Ricky Rubio,78,#11,Phoenix Suns,G,10/21/1990,6-3 / 1.91,180 lbs. / 81.6 kg.,$16200000,Spain,2009,1,5,No college,5
Will Barton,78,#5,Denver Nuggets,G,01/06/1991,6-5 / 1.96,175 lbs. / 79.4 kg.,$12776786,USA,2012,2,40,Memphis,6
Bogdan Bogdanovic,78,#8,Sacramento Kings,G,08/18/1992,6-6 / 1.98,205 lbs. / 93 kg.,$8529386,Serbia,2014,1,27,No college,7
Thomas Bryant,78,#13,Washington Wizards,F-C,07/31/1997,6-10 / 2.08,241 lbs. / 109.3 kg.,$8000000,USA,2017,2,42,Indiana,12
Wendell Carter,78,#34,Chicago Bulls,C,04/16/1999,6-9 / 2.06,259 lbs. / 117.5 kg.,$5201400,USA,2018,1,7,Duke,14
Jordan Clarkson,78,#8,Utah Jazz,G,06/07/1992,6-4 / 1.93,186 lbs. / 84.4 kg.,$13437500,Philippines,2014,2,46,Missouri,7
Evan Fournier,78,#10,Orlando Magic,G,10/29/1992,6-7 / 2.01,190 lbs. / 86.2 kg.,$17150000,France,2012,1,20,No college,7
Eric Gordon,78,#10,Houston Rockets,G,12/25/1988,6-3 / 1.91,215 lbs. / 97.5 kg.,$14057730,USA,2008,1,7,Indiana,3
JaMychal Green,78,#4,Los Angeles Clippers,F,06/21/1990,6-8 / 2.03,220 lbs. / 99.8 kg.,$4767000,USA,2012,Undrafted,Undrafted,Alabama,5
Joe Harris,78,#12,Brooklyn Nets,G,09/06/1991,6-6 / 1.98,215 lbs. / 97.5 kg.,$7666667,USA,2014,2,33,Virginia,6
Andre Iguodala,78,#9,Miami Heat,G-F,01/28/1984,6-6 / 1.98,207 lbs. / 93.9 kg.,$17185185,USA,2004,1,9,Arizona,Old
Caris LeVert,78,#22,Brooklyn Nets,G,08/25/1994,6-6 / 1.98,191 lbs. / 86.6 kg.,$2625717,USA,2016,1,20,Michigan,9
Marcus Morris,78,#0,Los Angeles Clippers,F,09/02/1989,6-8 / 2.03,235 lbs. / 106.6 kg.,$15000000,USA,2011,1,14,Kansas,4
Dejounte Murray,78,#5,San Antonio Spurs,G,09/19/1996,6-4 / 1.93,170 lbs. / 77.1 kg.,$2321735,USA,2016,1,29,Washington,11
Larry Nance Jr,78,#22,Cleveland Cavaliers,F,01/01/1993,6-7 / 2.01,227 lbs. / 103 kg.,$12727273,USA,2015,1,27,Wyoming,8
Kelly Olynyk,78,#9,Miami Heat,C,04/19/1991,6-11 / 2.11,234 lbs. / 106.1 kg.,$12667885,Canada,2013,1,13,Gonzaga,6
Kelly Oubre,78,#3,Phoenix Suns,F-G,12/09/1995,6-7 / 2.01,203 lbs. / 92.1 kg.,$15625000,USA,2015,1,15,Kansas,10
Jabari Parker,78,#0,Sacramento Kings,F,03/15/1995,6-8 / 2.03,235 lbs. / 106.6 kg.,$6500000,USA,2014,1,2,Duke,10
Bobby Portis,78,#1,New York Knicks,F-C,02/10/1995,6-10 / 2.08,246 lbs. / 111.6 kg.,$15000000,USA,2015,1,22,Arkansas,10
Terry Rozier,78,#3,Charlotte Hornets,G,03/17/1994,6-1 / 1.85,190 lbs. / 86.2 kg.,$19894737,USA,2015,1,16,Louisville,9
Dennis Schroeder,78,#17,Oklahoma City Thunder,G,09/15/1993,6-1 / 1.85,172 lbs. / 78 kg.,$15500000,Germany,2013,1,17,No college,8
Jeff Teague,78,#0,Atlanta Hawks,G,06/10/1988,6-3 / 1.91,181 lbs. / 82.1 kg.,$19000000,USA,2009,1,19,Wake Forest,3
Derrick White,78,#4,San Antonio Spurs,G,07/02/1994,6-4 / 1.93,200 lbs. / 90.7 kg.,$1948080,USA,2017,1,29,Colorado,9
Justise Winslow,78,#0,Memphis Grizzlies,F,03/26/1996,6-6 / 1.98,222 lbs. / 100.7 kg.,$13000000,USA,2015,1,10,Duke,11
Darius Garland,77,#10,Cleveland Cavaliers,G,06/26/2000,6-1 / 1.85,175 lbs. / 79.4 kg.,$6400920,USA,2019,1,5,Vanderbilt,15
De'Andre Hunter,77,#12,Atlanta Hawks,F,12/01/1997,6-7 / 2.01,225 lbs. / 102.1 kg.,$7068360,USA,2019,1,4,Virginia,12
Al-Farouq Aminu,77,#2,Orlando Magic,F,09/21/1990,6-8 / 2.03,215 lbs. / 97.5 kg.,$9258000,Nigeria,2010,1,8,Wake Forest,5
Mo Bamba,77,#5,Orlando Magic,C,05/12/1998,7-0 / 2.13,225 lbs. / 102.1 kg.,$5697600,USA,2018,1,6,Texas,13
Nicolas Batum,77,#5,Charlotte Hornets,F-G,12/14/1988,6-9 / 2.06,210 lbs. / 95.3 kg.,$25565217,France,2008,1,25,No college,3
Malik Beasley,77,#0,Minnesota Timberwolves,G,11/26/1996,6-4 / 1.93,198 lbs. / 89.8 kg.,$2731713,USA,2016,1,19,Florida State,11
Nemanja Bjelica,77,#88,Sacramento Kings,F-G,05/09/1988,6-10 / 2.08,224 lbs. / 101.6 kg.,$6825000,Serbia,2010,2,35,No college,3
