full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,years_until_retirement
Shaquille Harrison,73,#3,Chicago Bulls,G,10/06/1993,6-7 / 2.01,190 lbs. / 86.2 kg.,$1620564,USA,2016,Undrafted,Undrafted,Tulsa,8
Aaron Holiday,73,#3,Indiana Pacers,G,09/30/1996,6-0 / 1.83,185 lbs. / 83.9 kg.,$2239200,USA,2018,1,23,UCLA,11
Danuel House,73,#4,Houston Rockets,F,06/07/1993,6-6 / 1.98,220 lbs. / 99.8 kg.,$3540000,USA,2016,Undrafted,Undrafted,Texas A&M,8
Stanley Johnson,73,#5,Toronto Raptors,F,05/29/1996,6-6 / 1.98,242 lbs. / 109.8 kg.,$3623000,USA,2015,1,8,Arizona,11
Tyus Jones,73,#21,Memphis Grizzlies,G,05/10/1996,6-0 / 1.83,185 lbs. / 83.9 kg.,$10116000,USA,2015,1,24,Duke,11
Furkan Korkmaz,73,#30,Philadelphia 76ers,F,06/27/1997,6-7 / 2.01,185 lbs. / 83.9 kg.,$1620564,Turkey,2016,1,26,No college,12
Ian Mahinmi,73,#28,Washington Wizards,C,11/05/1986,6-11 / 2.11,230 lbs. / 104.3 kg.,$15450051,France,2005,1,28,No college,1
CJ Miles,73,#0,Free agent,G-F,03/18/1987,6-6 / 1.98,232 lbs. / 105.2 kg.,$8730158,USA,2005,2,34,No college,2
Mike Muscala,73,#33,Oklahoma City Thunder,F-C,07/01/1991,6-10 / 2.08,230 lbs. / 104.3 kg.,$2028594,USA,2013,2,44,Bucknell,6
Frank Ntilikina,73,#11,New York Knicks,G,07/28/1998,6-4 / 1.93,190 lbs. / 86.2 kg.,$4855800,France,2017,1,8,No college,13
David Nwaba,73,#0,Houston Rockets,G,01/14/1993,6-5 / 1.96,210 lbs. / 95.3 kg.,$2581965,USA,2016,Undrafted,Undrafted,Cal Poly,8
Royce O'Neale,73,#23,Utah Jazz,F,06/05/1993,6-4 / 1.93,226 lbs. / 102.5 kg.,$1618520,USA,2015,Undrafted,Undrafted,Baylor,8
Semi Ojeleye,73,#37,Boston Celtics,F,12/05/1994,6-6 / 1.98,235 lbs. / 106.6 kg.,$1618520,USA,2017,2,37,SMU,9
Josh Okogie,73,#20,Minnesota Timberwolves,G,09/01/1998,6-4 / 1.93,213 lbs. / 96.6 kg.,$2530680,Nigeria,2018,1,20,Georgia Tech,13
Jonathon Simmons,73,#0,Free agent,G-F,09/14/1989,6-6 / 1.98,195 lbs. / 88.5 kg.,$1000000,USA,2012,Undrafted,Undrafted,Houston,4
Ishmael Smith,73,#14,Washington Wizards,G,07/05/1988,6-0 / 1.83,175 lbs. / 79.4 kg.,$6000000,USA,2010,Undrafted,Undrafted,Wake Forest,3
Tony Snell,73,#17,Detroit Pistons,F,11/10/1991,6-6 / 1.98,198 lbs. / 89.8 kg.,$11392857,USA,2013,1,20,New Mexico,6
Omari Spellman,73,#0,Minnesota Timberwolves,F,07/21/1997,6-8 / 2.03,245 lbs. / 111.1 kg.,$1897800,USA,2018,1,30,Villanova,12
Garrett Temple,73,#17,Brooklyn Nets,G-F,05/08/1986,6-5 / 1.96,195 lbs. / 88.5 kg.,$4767000,USA,2009,Undrafted,Undrafted,LSU,1
Evan Turner,73,#1,Minnesota Timberwolves,G-F,10/27/1988,6-6 / 1.98,205 lbs. / 93 kg.,$18606556,USA,2010,1,2,Ohio State,3
Lonnie Walker,73,#1,San Antonio Spurs,G,12/14/1998,6-5 / 1.96,204 lbs. / 92.5 kg.,$2764200,USA,2018,1,18,Miami (Florida),13
Brad Wanamaker,73,#9,Boston Celtics,G,07/25/1989,6-3 / 1.91,210 lbs. / 95.3 kg.,$1445697,USA,2011,Undrafted,Undrafted,Pittsburgh,4
Ante Zizic,73,#41,Cleveland Cavaliers,C,01/04/1997,6-10 / 2.08,250 lbs. / 113.4 kg.,$2281800,Croatia,2016,1,23,No college,12
Tyler Herro,73,#14,Miami Heat,G,01/20/2000,6-5 / 1.96,195 lbs. / 88.5 kg.,$3640200,USA,2019,1,13,Kentucky,15
Vincent Poirier,73,#77,Boston Celtics,C,10/17/1993,7-0 / 2.13,235 lbs. / 106.6 kg.,$2505793,France,2015,Undrafted,Undrafted,No college,8
Sekou Doumbouya,73,#45,Detroit Pistons,F,12/23/2000,6-8 / 2.03,209 lbs. / 94.8 kg.,$3285120,France,2019,1,15,No college,15
Brandon Clarke,73,#15,Memphis Grizzlies,F,09/19/1996,6-8 / 2.03,215 lbs. / 97.5 kg.,$2478840,Canada,2019,1,21,Gonzaga,11
Nicolo Melli,73,#20,New Orleans Pelicans,F,01/26/1991,6-9 / 2.06,236 lbs. / 107 kg.,$4102564,Italy,2013,Undrafted,Undrafted,No college,6
Nassir Little,73,#9,Portland Trail Blazers,F,02/11/2000,6-5 / 1.96,220 lbs. / 99.8 kg.,$2105520,USA,2019,1,25,North Carolina,15
Grayson Allen,72,#3,Memphis Grizzlies,G,10/08/1995,6-4 / 1.93,205 lbs. / 93 kg.,$2429400,USA,2018,1,21,Duke,10
Antonio Blakeney,72,#0,Free agent,G-F,10/04/1996,6-4 / 1.93,197 lbs. / 89.4 kg.,$1488231,USA,2017,Undrafted,Undrafted,LSU,11
Michael Carter-Williams,72,#7,Orlando Magic,G,10/10/1991,6-5 / 1.96,184 lbs. / 83.5 kg.,$2028594,USA,2013,1,11,Syracuse,6
Troy Daniels,72,#30,Denver Nuggets,G,07/15/1991,6-4 / 1.93,200 lbs. / 90.7 kg.,$2487033,USA,2013,Undrafted,Undrafted,VCU,6
Donte DiVincenzo,72,#0,Milwaukee Bucks,G,01/31/1997,6-4 / 1.93,205 lbs. / 93 kg.,$2905800,USA,2018,1,17,Villanova,12
Jared Dudley,72,#10,Los Angeles Lakers,F,07/10/1985,6-6 / 1.98,225 lbs. / 102.1 kg.,$2564753,USA,2007,1,22,Boston College,Old
Cristiano Felicio,72,#6,Chicago Bulls,F,07/07/1992,6-10 / 2.08,270 lbs. / 122.5 kg.,$8156500,Brazil,2014,Undrafted,Undrafted,No college,7
Tim Frazier,72,#0,Free agent,G,11/01/1990,6-0 / 1.83,170 lbs. / 77.1 kg.,$1620564,USA,2014,Undrafted,Undrafted,Penn State,5
Langston Galloway,72,#9,Detroit Pistons,G,12/09/1991,6-1 / 1.85,202 lbs. / 91.6 kg.,$7333333,USA,2014,Undrafted,Undrafted,Saint Joseph's,6
Justin Holiday,72,#8,Indiana Pacers,G,04/05/1989,6-6 / 1.98,180 lbs. / 81.6 kg.,$4767000,USA,2011,Undrafted,Undrafted,Washington,4
Chandler Hutchison,72,#15,Chicago Bulls,F,04/26/1996,6-7 / 2.01,196 lbs. / 88.9 kg.,$2332320,USA,2018,1,22,Boise State,11
Wesley Iwundu,72,#25,Orlando Magic,F,12/20/1994,6-6 / 1.98,205 lbs. / 93 kg.,$1618520,USA,2017,2,33,Kansas State,9
Brandon Knight,72,#0,Detroit Pistons,G,12/02/1991,6-2 / 1.88,189 lbs. / 85.7 kg.,$15643750,USA,2011,1,8,Kentucky,6
Courtney Lee,72,#1,Dallas Mavericks,G-F,10/03/1985,6-5 / 1.96,200 lbs. / 90.7 kg.,$12759670,USA,2008,1,22,Western Kentucky,Old
Thon Maker,72,#7,Detroit Pistons,F-C,02/25/1997,7-0 / 2.13,216 lbs. / 98 kg.,$3569643,Australia,2016,1,10,No college,12
Patrick McCaw,72,#22,Toronto Raptors,G,10/25/1995,6-7 / 2.01,181 lbs. / 82.1 kg.,$4000000,USA,2016,2,38,UNLV,10
Rodney McGruder,72,#19,Los Angeles Clippers,G,07/29/1991,6-4 / 1.93,205 lbs. / 93 kg.,$4807693,USA,2013,Undrafted,Undrafted,Kansas State,6
Darius Miller,72,#21,New Orleans Pelicans,F,03/21/1990,6-6 / 1.98,225 lbs. / 102.1 kg.,$7250000,USA,2012,2,46,Kentucky,5
Raul Neto,72,#19,Philadelphia 76ers,G,05/19/1992,6-1 / 1.85,170 lbs. / 77.1 kg.,$1737145,Brazil,2013,2,47,No college,7
Georges Niang,72,#31,Utah Jazz,F,06/17/1993,6-7 / 2.01,230 lbs. / 104.3 kg.,$1645357,USA,2016,2,50,Iowa State,8
Cameron Payne,72,#0,Phoenix Suns,G,08/08/1994,6-2 / 1.88,180 lbs. / 81.6 kg.,$346288,USA,2015,1,14,Murray State,9
Anfernee Simons,72,#1,Portland Trail Blazers,G,06/08/1999,6-3 / 1.91,181 lbs. / 82.1 kg.,$2149560,USA,2018,1,24,No college,14
Zhaire Smith,72,#8,Philadelphia 76ers,G-F,06/04/1999,6-3 / 1.91,205 lbs. / 93 kg.,$3058800,USA,2018,1,16,Texas Tech,14
Anthony Tolliver,72,#0,Memphis Grizzlies,F,06/01/1985,6-8 / 2.03,240 lbs. / 108.9 kg.,$2854556,USA,2007,Undrafted,Undrafted,Creighton,Old
DJ Wilson,72,#5,Milwaukee Bucks,F,02/19/1996,6-10 / 2.08,234 lbs. / 106.1 kg.,$2961120,USA,2017,1,17,Michigan,11
Alfonzo McKinnie,72,#0,Cleveland Cavaliers,F,09/17/1992,6-8 / 2.03,215 lbs. / 97.5 kg.,$2391985,USA,2015,Undrafted,Undrafted,Green Bay,7
Romeo Langford,72,#45,Boston Celtics,G,10/25/1999,6-4 / 1.93,216 lbs. / 98 kg.,$3458400,USA,2019,1,14,Indiana,14
Grant Williams,72,#12,Boston Celtics,F,11/30/1998,6-6 / 1.98,236 lbs. / 107 kg.,$2379840,USA,2019,1,22,Tennessee,13
Nicolas Claxton,72,#0,Brooklyn Nets,C,04/17/1990,6-11 / 2.11,215 lbs. / 97.5 kg.,$898310,USA,2019,2,31,Georgia,5
PJ Washington,72,#25,Charlotte Hornets,F,08/23/1998,6-7 / 2.01,225 lbs. / 102.1 kg.,$3831840,USA,2019,1,12,Kentucky,13
Ryan Arcidiacono,72,#51,Chicago Bulls,G,03/26/1994,6-3 / 1.91,195 lbs. / 88.5 kg.,$3000000,Italy,2016,Undrafted,Undrafted,Villanova,9
Kevin Porter,72,#4,Cleveland Cavaliers,G-F,05/04/2000,6-4 / 1.93,218 lbs. / 98.9 kg.,$1290960,USA,2019,1,30,USC,15
Ryan Broekhoff,72,#0,Philadelphia 76ers,F,08/23/1990,6-6 / 1.98,215 lbs. / 97.5 kg.,$2833704,Australia,2013,Undrafted,Undrafted,Valparaiso,5
Goga Bitadze,72,#88,Indiana Pacers,C,07/20/1999,6-11 / 2.11,250 lbs. / 113.4 kg.,$2816760,Georgia,2019,1,18,No college,14
De'Anthony Melton,72,#0,Memphis Grizzlies,G,05/28/1998,6-2 / 1.88,190 lbs. / 86.2 kg.,$1416852,USA,2018,2,46,USC,13
Kenrich Williams,72,#34,New Orleans Pelicans,G-F,12/02/1994,6-6 / 1.98,210 lbs. / 95.3 kg.,$1416852,USA,2018,Undrafted,Undrafted,TCU,9
Nickeil Alexander-Walker,72,#0,New Orleans Pelicans,G,09/02/1998,6-5 / 1.96,205 lbs. / 93 kg.,$2964840,Canada,2019,1,17,Virginia Tech,13
Chuma Okeke,72,#3,Free agent,F-C,08/18/1998,6-8 / 2.03,230 lbs. / 104 kg.,$2773550,USA,2019,1,16,Auburn,13
Matisse Thybulle,72,#22,Philadelphia 76ers,G-F,03/04/1997,6-5 / 1.96,201 lbs. / 91.2 kg.,$2582160,USA,2019,1,20,Washington,12
Cameron Johnson,72,#23,Phoenix Suns,F,03/03/1996,6-8 / 2.03,210 lbs. / 95.3 kg.,$4033440,USA,2019,1,11,North Carolina,11
Ty Jerome,72,#10,Phoenix Suns,G,07/08/1997,6-5 / 1.96,195 lbs. / 88.5 kg.,$2193480,USA,2019,1,24,Virginia,12
Luka Samanic,72,#19,San Antonio Spurs,F,01/09/2000,6-10 / 2.08,209 lbs. / 94.8 kg.,$2689920,Croatia,2019,1,19,No college,15
Keldon Johnson,72,#3,San Antonio Spurs,F,10/11/1999,6-5 / 1.96,211 lbs. / 95.7 kg.,$1950600,USA,2019,1,29,Kentucky,14
Matt Thomas,72,#21,Toronto Raptors,G,08/04/1994,6-4 / 1.93,197 lbs. / 89.4 kg.,$898310,USA,2017,Undrafted,Undrafted,Iowa State,9
Chris Boucher,71,#25,Toronto Raptors,F-C,01/11/1993,6-9 / 2.06,200 lbs. / 90.7 kg.,$1588231,Canada,2017,Undrafted,Undrafted,Oregon,8
Jevon Carter,71,#4,Phoenix Suns,G,09/14/1995,6-1 / 1.85,200 lbs. / 90.7 kg.,$1416852,USA,2018,2,32,West Virginia,10
Deyonta Davis,71,#0,Free agent,F-C,12/02/1996,6-10 / 2.08,240 lbs. / 108.9 kg.,$250000,USA,2016,2,31,Michigan State,11
Jacob Evans,71,#0,Minnesota Timberwolves,G,06/18/1997,6-4 / 1.93,210 lbs. / 95.3 kg.,$1925880,USA,2018,1,28,Cincinnati,12
Terrance Ferguson,71,#23,Oklahoma City Thunder,G,05/17/1998,6-6 / 1.98,184 lbs. / 83.5 kg.,$2475840,USA,2017,1,21,No college,13
Daniel Gafford,71,#12,Chicago Bulls,F,10/01/1998,6-10 / 2.08,234 lbs. / 106.1 kg.,$898310,USA,2019,2,38,Arkansas,13
Treveon Graham,71,#12,Atlanta Hawks,G,10/28/1993,6-5 / 1.96,219 lbs. / 99.3 kg.,$1645357,USA,2015,Undrafted,Undrafted,VCU,8
Frank Jackson,71,#15,New Orleans Pelicans,G,05/04/1998,6-3 / 1.91,205 lbs. / 93 kg.,$1618520,USA,2017,2,31,Duke,13
Luke Kornet,71,#2,Chicago Bulls,C,07/15/1995,7-2 / 2.18,240 lbs. / 108.9 kg.,$2250000,USA,2017,Undrafted,Undrafted,Vanderbilt,10
Frank Mason,71,#15,Milwaukee Bucks,G,04/13/1994,5-11 / 1.80,190 lbs. / 86.2 kg.,$79568,USA,2017,2,34,Kansas,9
Ben McLemore,71,#16,Houston Rockets,G,02/11/1993,6-3 / 1.91,189 lbs. / 85.7 kg.,$2028594,USA,2013,1,7,Kansas,8
Dzanan Musa,71,#13,Brooklyn Nets,F,05/08/1999,6-9 / 2.06,195 lbs. / 88.5 kg.,$1911600,Bosnia and Herzegovina,2018,1,29,No college,14
Elie Okobo,71,#2,Phoenix Suns,G,10/23/1997,6-3 / 1.91,190 lbs. / 86.2 kg.,$1416852,France,2018,2,31,No college,12
Jerome Robinson,71,#1,Washington Wizards,G,02/22/1997,6-4 / 1.93,190 lbs. / 86.2 kg.,$3567720,USA,2018,1,13,Boston College,12
JaKarr Sampson,71,#14,Indiana Pacers,F,03/20/1993,6-7 / 2.01,223 lbs. / 101.2 kg.,$1737145,USA,2014,Undrafted,Undrafted,St. John's,8
Edmond Sumner,71,#5,Indiana Pacers,G,12/13/1995,6-4 / 1.93,186 lbs. / 84.4 kg.,$2000000,USA,2017,2,52,Xavier,10
Gary Trent Jr,71,#2,Portland Trail Blazers,G,01/18/1999,6-5 / 1.96,209 lbs. / 94.8 kg.,$1416852,USA,2018,2,37,Duke,14
Moritz Wagner,71,#21,Washington Wizards,F,04/26/1997,6-11 / 2.11,240 lbs. / 108.9 kg.,$2063520,Germany,2018,1,25,Michigan,12
Admiral Schofield,71,#1,Washington Wizards,F,03/30/1997,6-5 / 1.96,241 lbs. / 109.3 kg.,$1000000,USA,2019,2,42,Tennessee,12
Bruno Fernando,71,#24,Atlanta Hawks,F,08/15/1998,6-9 / 2.06,245 lbs. / 111.1 kg.,$1400000,Angola,2019,2,34,Maryland,13
Alen Smailagic,71,#6,Golden State Warriors,F,08/18/2000,6-10 / 2.08,215 lbs. / 97.5 kg.,$898310,Serbia,2019,2,39,No college,15
Eric Paschall,71,#7,Golden State Warriors,F,11/04/1996,6-6 / 1.98,255 lbs. / 115.7 kg.,$898310,USA,2019,2,41,Villanova,11
Carsen Edwards,71,#4,Boston Celtics,G,03/12/1998,5-11 / 1.80,200 lbs. / 90.7 kg.,$1228026,USA,2019,2,33,Purdue,13
KZ Okpala,71,#4,Miami Heat,F,04/28/1999,6-8 / 2.03,215 lbs. / 97.5 kg.,$898310,USA,2019,2,32,Stanford,14
Shake Milton,71,#18,Philadelphia 76ers,C,09/26/1996,6-5 / 1.96,205 lbs. / 93 kg.,$1445697,USA,2018,2,54,SMU,11
Chimezie Metu,71,#7,San Antonio Spurs,F,03/22/1997,6-9 / 2.06,225 lbs. / 102.1 kg.,$1416852,Nigeria,2018,2,49,USC,12
Keita Bates-Diop,70,#0,Denver Nuggets,F,01/23/1996,6-8 / 2.03,235 lbs. / 106.6 kg.,$1416852,USA,2018,2,48,Ohio State,11
Darius Bazley,70,#7,Oklahoma City Thunder,F,06/12/2000,6-8 / 2.03,200 lbs. / 90.7 kg.,$2284800,USA,2019,1,23,No college,15
Tony Bradley,70,#13,Utah Jazz,F-C,01/08/1998,6-10 / 2.08,248 lbs. / 112.5 kg.,$1962360,USA,2017,1,28,North Carolina,13
Hamidou Diallo,70,#6,Oklahoma City Thunder,G,07/31/1998,6-5 / 1.96,198 lbs. / 89.8 kg.,$1416852,USA,2018,2,45,Kentucky,13
Melvin Frazier,70,#35,Orlando Magic,F,08/30/1996,6-5 / 1.96,201 lbs. / 91.2 kg.,$1416852,USA,2018,2,35,Tulane,11
Solomon Hill,70,#44,Miami Heat,F,03/18/1991,6-6 / 1.98,226 lbs. / 102.5 kg.,$13290395,USA,2013,1,23,Arizona,6
Alize Johnson,70,#24,Indiana Pacers,F,04/26/1996,6-7 / 2.01,201 lbs. / 91.2 kg.,$1416852,USA,2018,2,50,Missouri State,11
Skal Labissiere,70,#0,Atlanta Hawks,C-F,03/18/1996,6-10 / 2.08,216 lbs. / 98 kg.,$2338846,Haiti,2016,1,28,Kentucky,11
Tyler Lydon,70,#0,Free agent,F-C,04/09/1996,6-9 / 2.06,220 lbs. / 99.8 kg.,$50000,USA,2017,1,24,Syracuse,11
Sviatoslav Mykhailiuk,70,#19,Detroit Pistons,G,06/10/1997,6-7 / 2.01,205 lbs. / 93 kg.,$1416852,Ukraine,2018,2,47,Kansas,12
Johnathan Motley,70,#15,Los Angeles Clippers,F,05/04/1995,6-8 / 2.03,230 lbs. / 104.3 kg.,$79568,USA,2017,Undrafted,Undrafted,Baylor,10
Abdel Nader,70,#11,Oklahoma City Thunder,F,09/25/1993,6-5 / 1.96,225 lbs. / 102.1 kg.,$1618520,Egypt,2016,2,58,Iowa State,8
Miles Plumlee,70,#0,Free agent,F-C,09/01/1988,6-11 / 2.11,255 lbs. / 115.7 kg.,$12500000,USA,2012,1,26,Duke,3
Caleb Swanigan,70,#50,Portland Trail Blazers,C,04/18/1997,6-9 / 2.06,249 lbs. / 112.9 kg.,$2033160,USA,2017,1,26,Purdue,12
Jarred Vanderbilt,70,#0,Minnesota Timberwolves,F,04/03/1999,6-9 / 2.06,214 lbs. / 97.1 kg.,$1416852,USA,2018,2,41,Kentucky,14
Jemerrio Jones,70,#0,Free agent,F,04/09/1995,6-5 / 1.96,201 lbs. / 91.2 kg.,$195077,USA,2018,Undrafted,Undrafted,New Mexico State,10
Jordan Poole,70,#3,Golden State Warriors,G,06/19/1999,6-4 / 1.93,194 lbs. / 88 kg.,$1964760,USA,2019,1,28,Michigan,14
Talen Horton-Tucker,70,#5,Los Angeles Lakers,G,11/20/2000,6-4 / 1.93,234 lbs. / 106.1 kg.,$898310,USA,2019,2,46,Iowa State,15
Yante Maten,70,#0,Free agent,F-C,08/14/1996,6-8 / 2.03,240 lbs. / 108.9 kg.,$100000,USA,2018,Undrafted,Undrafted,Georgia,11
Thanasis Antetokounmpo,70,#43,Milwaukee Bucks,F,07/18/1992,6-6 / 1.98,215 lbs. / 97.5 kg.,$1445697,Greece,2014,2,51,No college,7
Naz Reid,70,#11,Minnesota Timberwolves,C,08/26/1999,6-9 / 2.06,249 lbs. / 112.9 kg.,$898310,USA,2019,Undrafted,Undrafted,LSU,14
Ignas Brazdeikis,70,#17,New York Knicks,F,01/08/1999,6-6 / 1.98,216 lbs. / 98 kg.,$898310,Canada,2019,2,47,Michigan,14
Deonte Burton,70,#30,Oklahoma City Thunder,G,06/26/1991,6-4 / 1.93,240 lbs. / 108.9 kg.,$1416852,USA,2014,Undrafted,Undrafted,Iowa State,6
Justin James,70,#10,Sacramento Kings,G,01/24/1997,6-7 / 2.01,190 lbs. / 86.2 kg.,$898310,USA,2019,2,40,Wyoming,12
Henry Ellenson,69,#0,Free agent,F-C,01/13/1997,6-10 / 2.08,242 lbs. / 109.8 kg.,$79568,USA,2016,1,18,Marquette,12
Devonte Graham,69,#0,Charlotte Hornets,G,02/22/1995,6-1 / 1.85,185 lbs. / 83.9 kg.,$1416852,USA,2018,2,34,Kansas,10
Amile Jefferson,69,#0,Free agent,F-C,05/07/1993,6-9 / 2.06,224 lbs. / 101.6 kg.,$1529007,USA,2017,Undrafted,Undrafted,Duke,8
Khyri Thomas,69,#13,Detroit Pistons,G,05/08/1996,6-3 / 1.91,210 lbs. / 95.3 kg.,$1416852,USA,2018,2,38,Creighton,11
Theo Pinson,69,#0,New York Knicks,G,11/05/1995,6-5 / 1.96,220 lbs. / 99.8 kg.,$1445697,USA,2018,Undrafted,Undrafted,North Carolina,10
Gary Clark,69,#0,Orlando Magic,F,11/16/1994,6-6 / 1.98,225 lbs. / 102.1 kg.,$1427191,USA,2018,Undrafted,Undrafted,Cincinnati,9
Terance Mann,69,#14,Los Angeles Clippers,G,10/18/1996,6-5 / 1.96,215 lbs. / 97.5 kg.,$1000000,USA,2019,2,48,Florida State,11
Cam Reynolds,69,#13,Milwaukee Bucks,G,02/07/1995,6-7 / 2.01,225 lbs. / 102.1 kg.,$79568,USA,2018,Undrafted,Undrafted,Tulane,10
Tyrone Wallace,69,#0,Free agent,G-F,06/10/1994,6-5 / 1.96,200 lbs. / 90.7 kg.,$502491,USA,2016,2,60,California,9
Miye Oni,69,#24,Utah Jazz,F,08/04/1997,6-5 / 1.96,210 lbs. / 95.3 kg.,$898310,USA,2019,2,58,Yale,12
Malcolm Miller,69,#13,Toronto Raptors,F,03/06/1993,6-7 / 2.01,205 lbs. / 93 kg.,$1588231,USA,2015,Undrafted,Undrafted,Holy Cross,8
Isaac Bonga,68,#17,Washington Wizards,G,11/08/1999,6-8 / 2.03,200 lbs. / 90.7 kg.,$1416852,Germany,2018,2,39,No college,14
Isaiah Hartenstein,68,#0,Free agent,F-C,05/05/1998,7-0 / 2.13,250 lbs. / 113.4 kg.,$1416852,Germany,2017,2,43,No college,13
Jordan McRae,68,#0,Detroit Pistons,G,03/28/1991,6-5 / 1.96,179 lbs. / 81.2 kg.,$1254933,USA,2014,2,58,Tennessee,6
Brandon Goodwin,68,#0,Atlanta Hawks,G,10/02/1995,6-0 / 1.83,180 lbs. / 81.6 kg.,$522738,USA,2018,Undrafted,Undrafted,Florida Gulf Coast,10
Michael Frazier,68,#21,Houston Rockets,G,03/08/1994,6-3 / 1.91,200 lbs. / 90.7 kg.,$79568,USA,2015,2,60,Florida,9
Kostas Antetokounmpo,68,#37,Los Angeles Lakers,F,11/20/1997,6-10 / 2.08,200 lbs. / 90.7 kg.,$79568,Greece,2018,Undrafted,Undrafted,Dayton,12
Jalen Lecque,68,#0,Phoenix Suns,G,06/13/2000,6-3 / 1.91,190 lbs. / 86.2 kg.,$898310,USA,2019,Undrafted,Undrafted,No college,15
Duncan Robinson,67,#55,Miami Heat,F,04/22/1994,6-7 / 2.01,215 lbs. / 97.5 kg.,$1416852,USA,2018,Undrafted,Undrafted,Michigan,9
